cvegeo,entidad,poblacion,por_pobreza,gini,por_pob_vul_car_soc,por_pob_vul_ingreso
01,Aguascalientes,1483822,23.722319793100002,0.4292141638,29.894353905000003,9.2544119173
02,Baja California,3822032,13.3708195012,0.3835499825,38.050257036,5.4072284063
03,Baja California Sur,841389,13.329030923900001,0.40645857220000003,37.7100247329,4.564238420000001
04,Campeche,950528,45.1294438459,0.4422490888,27.700709500400002,5.8950393886
05,Coahuila,3273132,18.243321687,0.38642144380000004,24.120322675700002,10.5802026927
06,Colima,770953,20.5471669479,0.3765433314,31.859659408600002,6.7873138829
07,Chiapas,5697874,67.370829892,0.4667441037,21.888725514100003,2.6687322324
08,Chihuahua,3807520,17.572199226800002,0.4357504213,30.1221267387,7.9645280918
09,Ciudad de México,9304509,23.967605383600002,0.46338136150000003,26.740873699,8.199443947
10,Durango,1868505,34.311066869,0.3939293159,28.1553969617,9.1716104586
11,Guanajuato,6277438,33.0343047594,0.3700433641,34.0722600526,8.3518945149
12,Guerrero,3600900,60.3547446472,0.4503521019,26.2093643256,3.367741398
13,Hidalgo,3157190,40.9990212816,0.3949460966,36.9719592422,5.075462674100001
14,Jalisco,8501241,21.836153098100002,0.3662696762,37.7997518245,7.319237273700001
15,México,17322817,42.875514992700005,0.3821432094,23.4499100233,10.0732230791
16,Michoacán,4942827,41.7362776403,0.42500133900000003,36.3391233397,4.6382970717
17,Morelos,2009763.0000000002,41.055885694000004,0.4116186638,30.8425918877,6.7212900228
18,Nayarit,1261928,29.3131620821,0.4372041539,37.4272541698,5.9936066083
19,Nuevo León,6057849,16.0404460395,0.3979850592,28.438312014700003,9.637793877
20,Oaxaca,4249879,58.440346184,0.44572581720000004,29.1780307157,2.9834967066
21,Puebla,6714344,54.0172651267,0.4010929949,25.0898524115,6.7348500464
22,Querétaro,2474777,21.690722032700002,0.3897806847,36.3612963916,7.5339313401000005
23,Quintana Roo,1916987,26.966014897300003,0.40550522310000003,35.6750984748,5.990129301900001
24,San Luis Potosí,2872412.0000000005,35.5227592699,0.409647027,28.453926525900002,6.727551618600001
25,Sinaloa,3087933,21.6388114638,0.3868726026,35.5263213289,6.669574760900001
26,Sonora,2998104.0000000005,21.6931100455,0.40626730640000003,32.6904270165,6.1531888153
27,Tabasco,2442266,46.4740941404,0.417471077,33.6348292938,3.5786437677
28,Tamaulipas,3588633.0000000005,26.8227483836,0.3896049109,27.7526567916,10.6998403013
29,Tlaxcala,1370566,52.519980796300004,0.3435866119,20.9558678677,10.428830133
30,Veracruz,8205028,51.732425532200004,0.4265563303,26.738775297300002,5.9508023617
31,Yucatán,2373293,38.7726252089,0.41871539090000004,30.2348256199,6.9419157264
32,Zacatecas,1641220,44.2158881807,0.40953273090000003,26.427170032,8.8233143637
