iso_code,pais,año,def_homicidios,def_accidentes_automovil,poblacion
ARG,Argentina,2016,2608,6463,43508459
BOL,Bolivia,2016,687,2139,11031822
BRA,Brasil,2016,59772,48724,206163056
CAN,Canadá,2016,548,2851,36382942
CHL,Chile,2016,790,2309,18209072
COL,Colombia,2016,16662,6863,48175048
CUB,Cuba,2016,626,1022,11335108
DOM,Rep. Dominicana,2016,1420,1973,10397738
ECU,Ecuador,2016,2234,3871,16491116
SLV,El Salvador,2016,3355,1374,6356137
GTM,Guatemala,2016,5807,2477,16583079
HTI,Haiti,2016,792,2879,10839976
HND,Honduras,2016,2736,1131,9270794
MEX,México,2016,21087,20351,123333379
NIC,Nicaragua,2016,629,736,6303970
PRY,Paraguay,2016,943,1645,6777878
PER,Perú,2016,1051,4196,30926036
USA,EEUU,2016,18271,44672,323015992
VEN,Venezuela,2016,12500,7533,29851249
