iso_code,pais,año,def_homicidios,def_accidentes_automovil,poblacion
VEN,Venezuela,2000,6799,5677,24192449
VEN,Venezuela,2001,7472,5954,24646471
VEN,Venezuela,2002,8163,6093,25100407
VEN,Venezuela,2003,9044,6371,25551624
VEN,Venezuela,2004,9093,6240,25996594
VEN,Venezuela,2005,9425,6321,26432445
VEN,Venezuela,2006,10218,6814,26850190
VEN,Venezuela,2007,10895,7274,27247601
VEN,Venezuela,2008,11446,7524,27635827
VEN,Venezuela,2009,11746,7474,28031010
VEN,Venezuela,2010,11502,7076,28439942
VEN,Venezuela,2011,11704,7114,28887873
VEN,Venezuela,2012,12128,7464,29360827
VEN,Venezuela,2013,12194,7396,29781046
VEN,Venezuela,2014,12282,7441,30042973
VEN,Venezuela,2015,12425,7466,30081827
VEN,Venezuela,2016,12500,7533,29851249
