fecha_de_registro,tipo_divorcio,el_nacionalidad,el_f_nacimiento,el_loc_nacimiento,el_mpo_nacimiento,el_edo_nacimiento,el_pais_nacimiento,el_edad,el_mpo_habita,el_edo_habita,el_pais_habita,el_ingreso,el_ocupacion,el_loc_habita,ella_nacionalidad,ella_f_nacimiento,fecha_de_registro_2,ella_loc_nacimiento,ella_mpo_nacimiento,ella_edo_nacimiento,ella_pais_nacimiento,ella_edad,ella_loc_habita,ella_mpo_habita,ella_edo_habita,ella_pais_habita,ella_ocupacion,ella_ingreso,fecha,localidad,municipio,entidad_federativa,el_escolaridad,el_trabajo,ella_escolaridad,ella_trabajo,años_matrimonio,meses_matrimonio,num_hijos,custodia
2006-06-09,Necesario,MEXICANA,18/12/1975,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,30,XALAPA,VERACRUZ,MEXICO,2000,PINTOR,XALAPA-ENRIQUEZ,MEXICANA,08/01/1983,NA,PUEBLA,PUEBLA,PUEBLA,MEXICO,22,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,1800,2000-06-26,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,OBRERO,SECUNDARIA,EMPLEADO,5,NA,1,NA
2000-02-01,Voluntario,MEXICANA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,MEXICANA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,1977-02-17,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,ESTABLECIMIENTO,PREPARATORIA,EMPLEADO,NA,NA,NA,NA
2005-02-01,Necesario,MEXICANA,22/02/1955,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,49,NA,NA,NA,NA,MEDICO,NA,MEXICANA,21/03/1947,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,57,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,JUBILADA,NA,1975-12-18,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,OBRERO,NA,TRABAJADOR POR CUENTA PROPIA EN VIA PUBLICA,NA,NA,NA,NA
2006-02-01,Necesario,MEXICANA,20/01/1964,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,42,XALAPA,VERACRUZ,MEXICO,6000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,NA,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,COMERCIANTE,5000,1987-12-03,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PREPARATORIA,EMPLEADO,18,NA,2,MADRE
2006-02-01,Necesario,MEXICANA,30/10/1975,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,30,COATEPEC,VERACRUZ,MEXICO,18000,MEDICO,COATEPEC,MEXICANA,13/10/1978,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,27,COATEPEC,COATEPEC,VERACRUZ,MEXICO,AMA DE CASA,NA,1998-11-14,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PREPARATORIA,NO TRABAJA,7,NA,2,MADRE
2006-02-01,Necesario,MEXICANA,28/03/1973,COATEPEC,COATEPEC,VERACRUZ,MEXICO,32,XALAPA,VERACRUZ,MEXICO,NA,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,14/06/1976,NA,RANCHO NUEVO,ALTO LUCERO,VERACRUZ,MEXICO,29,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,NA,1995-01-20,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,SECUNDARIA,NO TRABAJA,11,NA,2,MADRE
2007-02-01,Necesario,MEXICANA,13/12/1970,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,36,XALAPA,VERACRUZ,MEXICO,NA,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,04/11/1971,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,35,PIEDRA DE AGUA,JILOTEPEC,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1991-08-16,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,NO TRABAJA,15,NA,2,MADRE
2007-02-01,Necesario,MEXICANA,17/02/1975,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,31,XALAPA,VERACRUZ,MEXICO,NA,LICENCIADO,XALAPA-ENRIQUEZ,MEXICANA,27/08/1974,NA,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,32,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LICENCIADA,NA,1999-09-17,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,6,NA,1,MADRE
2008-02-01,Voluntario,MEXICANA,02/12/1976,CIUDAD MANTE,CIUDAD MANTE,TAMAULIPAS,MEXICO,31,CIUDAD VALLES,SAN LUIS POTOSI,MEXICO,15000,COMERCIANTE,CIUDAD VALLES,MEXICANA,03/01/1980,1980-01-28,VILLAHERMOSA,VILLAHERMOSA,TABASCO,MEXICO,28,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,NA,2006-06-03,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,NO TRABAJA,1,7,NA,NA
2008-02-01,Voluntario,MEXICANA,17/11/1976,LOS MOCHIS,LOS MOCHIS,SINALOA,MEXICO,31,XALAPA,VERACRUZ,MEXICO,6000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,13/03/1977,1980-12-09,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,30,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,6000,2001-02-09,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,7,11,NA,NA
