entidad,num_dtto,nom_dtto,cargo,fuerza_politica,siglas,nombre_completo,total_gastos
MEXICO,Distrito 11,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,RAUL ANGEL OTERO DIAZ,962625.61
MEXICO,Distrito 25,CHIMALHUACAN,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,GUADALUPE MERINO TRUJILLO,929291.14
MEXICO,Distrito 30,CHIMALHUACAN,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MAURICIO PIÑA VALDES,942593.51
MEXICO,Distrito 16,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,CRISTA AMANDA SPOHN GOTZEL,970310.5
MEXICO,Distrito 10,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,MARTIN ALBERTO GARCIA MARQUEZ,936636.46
QUINTANA ROO,Distrito 4,CANCUN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,MARIA DEL CARMEN JOAQUIN HERNANDEZ,1118611.49
BAJA CALIFORNIA,Distrito 6,TIJUANA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JACQUELINE NAVA MOUETT,818501.44
VERACRUZ,Distrito 14,MINATITLAN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,FREDY AYALA GONZALEZ,1086074.68
"NAYARIT",Distrito 2,TEPIC,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,LEOPOLDO DOMINGUEZ GONZALEZ,1251007.26
BAJA CALIFORNIA,Distrito 4,TIJUANA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,HORTENSIA HERNANDEZ MENDOZA,1200238.95
PUEBLA,Distrito 4,AJALPAN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JOSE ARMANDO GARCIA AVENDAÑO,1091961.56
JALISCO,Distrito 12,TLAJOMULCO DE ZUÑIGA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,ANA LAURA CHAVEZ VELARDE,1063267.75
BAJA CALIFORNIA,Distrito 8,TIJUANA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,IGNACIO ANAYA BARRIGUETE,1013065.5
COLIMA,Distrito 1,COLIMA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,RIULT RIVERA GUTIERREZ,1002984.94
CHIAPAS,Distrito 7,TONALA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,FEDERICO OVALLE VAQUERA,868.66
MEXICO,Distrito 4,NICOLAS ROMERO,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,CONSTANCIO CRUZ RODRIGUEZ,951721.45
MEXICO,Distrito 37,CUAUTITLAN,DIPUTACION FEDERAL MR,PARTIDO ACCIÓN NACIONAL,PAN,JAIR OCTAVIO MARTINEZ FLORES,1193966.67
BAJA CALIFORNIA,Distrito 2,MEXICALI,DIPUTACION FEDERAL MR,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,VICTOR MANUEL SANCHEZ SAENZ,1050826.53
