country_name,country_code,año,pib_per_capita
Aruba,ABW,2021,NA
NA,AFE,2021,1557.72268174541
Afganistán,AFG,2021,NA
NA,AFW,2021,1774.92121803027
Angola,AGO,2021,2137.90939339084
Albania,ALB,2021,6494.38571288581
Andorra,AND,2021,43047.6862704034
El mundo árabe,ARB,2021,6412.38920956596
Emiratos Árabes Unidos,ARE,2021,NA
Argentina,ARG,2021,10729.2325777217
Armenia,ARM,2021,4670.008798001
Samoa Americana,ASM,2021,NA
Antigua y Barbuda,ATG,2021,14900.7974022154
Australia,AUS,2021,59934.1294088895
Austria,AUT,2021,53267.9327491132
Azerbaiyán,AZE,2021,5384.03499804521
Burundi,BDI,2021,236.795414165095
Bélgica,BEL,2021,51767.7885723646
Benin,BEN,2021,1428.44717671325
Burkina Faso,BFA,2021,918.15258192146
Bangladesh,BGD,2021,2503.04388008424
Bulgaria,BGR,2021,11634.9710182244
Bahrein,BHR,2021,22232.3252265292
Bahamas,BHS,2021,28239.3667142001
Bosnia y Herzegovina,BIH,2021,6916.43831507661
Belarús,BLR,2021,7303.69626589884
Belice,BLZ,2021,4420.4913723374
Bermudas,BMU,2021,110869.463103011
Bolivia,BOL,2021,3414.89284856087
Brasil,BRA,2021,7518.83428432838
Barbados,BRB,2021,17033.9371863139
Brunei Darussalam,BRN,2021,31722.6601371588
Bhután,BTN,2021,NA
Botswana,BWA,2021,7347.55238231951
República Centroafricana,CAF,2021,511.484745592238
Canadá,CAN,2021,52051.3514647093
Europa Central y del Báltico,CEB,2021,18568.9933848981
Suiza,CHE,2021,93457.4403976155
Islas del Canal,CHI,2021,NA
Chile,CHL,2021,16502.8385709035
China,CHN,2021,12556.3331200058
Côte d'Ivoire,CIV,2021,2578.76041204832
Camerún,CMR,2021,1661.70210527032
"Congo, República Democrática del",COD,2021,584.106409215842
"Congo, República del",COG,2021,2213.88086288172
Colombia,COL,2021,6131.22592153117
Comoras,COM,2021,1494.68769339899
Cabo Verde,CPV,2021,3445.75653621
Costa Rica,CRI,2021,12508.6156275756
Estados pequeos del Caribe,CSS,2021,9352.28202838224
Cuba,CUB,2021,NA
Curacao,CUW,2021,NA
Islas Caimán,CYM,2021,NA
Chipre,CYP,2021,30798.4765625
República Checa,CZE,2021,26378.4999575477
Alemania,DEU,2021,50801.7867105308
Djibouti,DJI,2021,3363.71204814366
Dominica,DMA,2021,7559.9750390528
Dinamarca,DNK,2021,67803.0471046403
República Dominicana,DOM,2021,8603.78990518158
Argelia,DZA,2021,3765.03462494702
Asia oriental y el Pacífico (excluido altos ingresos),EAP,2021,9776.49380942516
inicial del dividendo demográfico,EAR,2021,3739.95779025926
Asia oriental y el Pacífico,EAS,2021,13037.4626411209
Europa y Asia central (excluido altos ingresos),ECA,2021,8708.06363752219
Europa y Asia central,ECS,2021,27114.2759902197
Ecuador,ECU,2021,5934.87549580808
"Egipto, República Árabe de",EGY,2021,3876.35959373349
Zona del Euro,EMU,2021,42307.7290448297
Eritrea,ERI,2021,NA
