clave_casilla,nom_edo,nom_dtto,pan,pri,prd,pvem,pt,mc,morena
'240982B0100',San Luis Potosí,San Luis Potosí,Ilegible,Ilegible,4,15,1,13,45
'160050B0100',Michoacán,Puruándiro,3,51,17,2,1,0,Ilegible
'150593C0100',México,Coacalco de Berriozábal,59,81,17,13,3,19,Ilegible
'081814C0100',Chihuahua,Juárez,Ilegible,19,3,8,6,17,Ilegible
'111614C0300',Guanajuato,León,243,22,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible
'300440B0100',Veracruz,Martínez de la Torre,Ilegible,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato
'143463B0100',Jalisco,Santa Cruz de las Flores,28,23,1,4,6,Ilegible,Ilegible
'082159B0100',Chihuahua,Juárez,28,12,4,Ilegible,Ilegible,Ilegible,Ilegible
'191636C0100',Nuevo León,Monterrey,34,Ilegible,Ilegible,2,Ilegible,57,24
'080297C0600',Chihuahua,Cuauhtémoc,73,Ilegible,6,1,4,13,67
