clave_casilla,clave_acta,id_estado,estado,id_distrito_federal,distrito_federal,seccion,id_casilla,tipo_casilla,ext_contigua,ubicacion_casilla,tipo_acta,total_boletas_sobrantes,total_personas_votaron,total_rep_partido_ci_votaron,total_votos_sacados,codigos_entregados_pmdc,codigos_sobrantes,codigos_utilizados,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fxm,cand_ind_1,cand_ind_2,cand_ind_3,pan_pri_prd,pan_pri,pan_prd,pri_prd,pvem_pt_morena,pvem_pt,pvem_morena,pt_morena,no_registrados,nulos,total_votos_asentado,total_votos_calculados,lista_nominal,representantes_pp_ci,observaciones,contabilizada,mecanismos_traslado,sha,fecha_hora_acopio,fecha_hora_captura,fecha_hora_verificacion,origen,digitalizacion,tipo_documento,cotejada
'010000V0100','010000V01002',1,AGUASCALIENTES,1,Jesús María,0,1,V,0,Urbana,Diputados MR,0,1,0,1,NO APLICA,NO APLICA,NO APLICA,0,0,0,0,0,1,0,0,0,0,-,-,-,0,0,0,0,-,-,-,-,0,0,1,1,1,-,NA,1,NA,44f8a54ada2937337f25f9557cc043458b58ddcb5ac768d5516ddd73d6c13ded,07/06/2021 06:47:48,07/06/2021 06:47:48,07/06/2021 06:47:48,CATD,Escáner,Acta Prisión,1
'010338B0100','010338B01002',1,AGUASCALIENTES,1,Jesús María,338,1,B,0,No Urbana,Diputados MR,234,416,5,421,NO APLICA,NO APLICA,NO APLICA,196,4,1,5,11,4,177,3,3,4,-,-,-,0,0,0,0,-,-,-,-,0,13,421,421,611,44,NA,1,D,ef8f72c9cd4b3ba416f8af9ab7d36fa13be43520f3703cea403fbd09976c737d,07/06/2021 04:39:00,07/06/2021 04:44:28,07/06/2021 04:45:14,CATD,Escáner,Acta PREP,3
'010338C0100','010338C01002',1,AGUASCALIENTES,1,Jesús María,338,1,C,0,No Urbana,Diputados MR,263,386,6,392,NO APLICA,NO APLICA,NO APLICA,172,10,1,10,4,4,167,2,4,3,-,-,-,0,0,0,0,-,-,-,-,0,15,Sin dato,392,611,44,NA,1,D,dbe34ba74017d438a6c3a9d1e9779781ee905fec8312419b208af9dfdb69081f,07/06/2021 04:38:00,07/06/2021 04:43:16,07/06/2021 04:44:07,CATD,Escáner,Acta PREP,1
'010338C0200','010338C02002',1,AGUASCALIENTES,1,Jesús María,338,2,C,0,No Urbana,Diputados MR,258,386,11,396,NO APLICA,NO APLICA,NO APLICA,194,9,0,12,3,4,158,1,2,4,-,-,-,1,1,0,0,-,-,-,-,0,7,396,396,611,44,NA,1,D,d44f2fe166edf2b01da7cdf093dfd1cf1822460e7e0ebf6c8e3d1c367947e6cd,06/06/2021 21:34:47,06/06/2021 21:57:12,06/06/2021 21:57:59,CASILLA,Móvil,Acta PREP,1
'010339B0100','010339B01002',1,AGUASCALIENTES,1,Jesús María,339,1,B,0,No Urbana,Diputados MR,266,356,4,360,NO APLICA,NO APLICA,NO APLICA,179,3,2,9,4,4,144,0,4,4,-,-,-,0,0,0,0,-,-,-,-,0,7,360,360,582,44,NA,1,D,7222f3ad866b2cd99c11bfe5b28b3e702ef6802bb86b70f836859c8594ece15e,06/06/2021 23:14:58,06/06/2021 23:20:13,06/06/2021 23:20:41,CASILLA,Móvil,Acta PREP,1
'010339C0100','010339C01002',1,AGUASCALIENTES,1,Jesús María,339,1,C,0,No Urbana,Diputados MR,232,382,11,394,NO APLICA,NO APLICA,NO APLICA,200,7,1,13,3,8,140,3,1,6,-,-,-,1,0,2,0,-,-,-,-,0,9,394,394,582,44,NA,1,D,04e784af29767a2594b8ad27a73138656c586e0a0acc930cd66f9f2ee1623961,07/06/2021 04:44:00,07/06/2021 04:49:22,07/06/2021 04:49:59,CATD,Escáner,Acta PREP,3
'010339C0200','010339C02002',1,AGUASCALIENTES,1,Jesús María,339,2,C,0,No Urbana,Diputados MR,247,377,377,377,NO APLICA,NO APLICA,NO APLICA,198,9,1,10,3,2,139,0,3,6,-,-,-,0,0,0,0,-,-,-,-,0,6,377,377,581,44,NA,1,D,f8624b901c581f798b556168749a95577e17a83bc164287ccd029376b4b41dc7,07/06/2021 04:44:00,07/06/2021 04:48:35,07/06/2021 04:49:17,CATD,Escáner,Acta PREP,1
'010340B0100','010340B01002',1,AGUASCALIENTES,1,Jesús María,340,1,B,0,No Urbana,Diputados MR,268,391,1,392,NO APLICA,NO APLICA,NO APLICA,107,9,1,10,10,24,195,6,4,13,-,-,-,1,0,0,0,-,-,-,-,0,12,392,392,616,44,NA,1,D,a9f808d1fd8a3d09abdb5c45d145b0e87fc577d653fdad0b22cec8292bccf41b,06/06/2021 20:59:39,06/06/2021 21:16:10,06/06/2021 21:16:51,CASILLA,Móvil,Acta PREP,1
'010340C0100','010340C01002',1,AGUASCALIENTES,1,Jesús María,340,1,C,0,No Urbana,Diputados MR,262,397,1,398,NO APLICA,NO APLICA,NO APLICA,168,6,2,6,11,19,170,3,1,7,-,-,-,0,0,1,0,-,-,-,-,0,4,398,398,616,44,NA,1,D,e1c70d1fb17b3845ad6947d8f2a8c6cadcc6673282c4fad666508fa46956c056,06/06/2021 21:22:24,06/06/2021 21:37:54,06/06/2021 21:38:29,CASILLA,Móvil,Acta PREP,1
'010340C0200','010340C02002',1,AGUASCALIENTES,1,Jesús María,340,2,C,0,No Urbana,Diputados MR,256,400,3,403,NO APLICA,NO APLICA,NO APLICA,169,11,0,6,4,10,193,1,1,4,-,-,-,0,0,0,0,-,-,-,-,0,4,403,403,615,44,NA,1,D,ac470ec7166097084bf4a8e8ed0a796d7e820ae7ee18f1deb683334791846ef1,06/06/2021 21:11:10,06/06/2021 21:23:04,06/06/2021 21:24:29,CASILLA,Móvil,Acta PREP,1
'010341B0100','010341B01002',1,AGUASCALIENTES,1,Jesús María,341,1,B,0,No Urbana,Diputados MR,226,528,2,530,NO APLICA,NO APLICA,NO APLICA,180,8,3,7,13,43,234,3,3,25,-,-,-,0,1,0,0,-,-,-,-,0,10,530,530,713,44,NA,1,D,4b4847a70b0aa0a5e8d7070200befb5082ca68b9e8499e50025cfb444e76c509,06/06/2021 22:14:41,06/06/2021 22:23:01,06/06/2021 22:23:32,CASILLA,Móvil,Acta PREP,1
'010341C0100','010341C01002',1,AGUASCALIENTES,1,Jesús María,341,1,C,0,No Urbana,Diputados MR,255,501,3,501,NO APLICA,NO APLICA,NO APLICA,158,4,2,8,19,23,241,3,6,17,-,-,-,0,1,2,0,-,-,-,-,0,17,501,501,712,44,NA,1,D,7c8c262ac284363b33536545234a0ef162f02469588a6316cacd6fd88a25ecf0,07/06/2021 00:35:20,07/06/2021 00:36:52,07/06/2021 00:37:47,CASILLA,Móvil,Acta PREP,1
'010341C0200','010341C02002',1,AGUASCALIENTES,1,Jesús María,341,2,C,0,No Urbana,Diputados MR,239,515,2,517,NO APLICA,NO APLICA,NO APLICA,176,6,3,9,25,16,251,3,4,13,-,-,-,0,0,0,0,-,-,-,-,10,517,517,1033,712,44,['Excede Lista Nominal'],0,D,b3b9b0f8d7abf6d387d8126ef6695e65379878ee9d542e0d41c89a38308e2f02,07/06/2021 00:46:58,07/06/2021 00:49:49,07/06/2021 00:50:28,CASILLA,Móvil,Acta PREP,1
