pais,año,tipo_regimen_gral,tipo_regimen,pib_pc,poblacion
Argentina,1970,Militar,Militar,11639,23962.313
Argentina,1971,Militar,Militar,12003,24363.816
Argentina,1972,Militar,Militar,12170,24779.799
Argentina,1973,Militar,Militar,12691,25209.829
Argentina,1974,Democracia,Democracia,13284,25646.371
Argentina,1975,Democracia,Democracia,12946,26081.88
Argentina,1976,Democracia,Democracia,12696,26531.28
Argentina,1977,Militar,Militar,13236,26983.828
Argentina,1978,Militar,Militar,12444,27440.272
Argentina,1979,Militar,Militar,13114,27901.971
Argentina,1980,Militar,Militar,13080,28369.799
Bolivia,1970,Militar,Militar,3469,4346.218
Bolivia,1971,Militar,Militar,3513,4454.684
Bolivia,1972,Militar,Militar-Personal,3602,4565.872
Bolivia,1973,Militar,Militar-Personal,3757,4679.923
Bolivia,1974,Militar,Militar-Personal,3854,4796.24
Bolivia,1975,Militar,Militar-Personal,4010,4914.316
Bolivia,1976,Militar,Militar-Personal,4219,4955.744
Bolivia,1977,Militar,Militar-Personal,4289,5079.716
Bolivia,1978,Militar,Militar-Personal,4328,5204.622
Bolivia,1979,Militar,Militar-Personal,4227,5326.981
Bolivia,1980,Democracia,Régimen provisional,4100,5441.298
Brasil,1970,Militar,Militar,4635,95684.297
Brasil,1971,Militar,Militar,5024,98265
Brasil,1972,Militar,Militar,5480,100874
Brasil,1973,Militar,Militar,6086,103513
Brasil,1974,Militar,Militar,6416,106182
Brasil,1975,Militar,Militar,6582,108879
Brasil,1976,Militar,Militar,7079,111603
Brasil,1977,Militar,Militar,7248,114373
Brasil,1978,Militar,Militar,7425,117207
Brasil,1979,Militar,Militar,7736,120101
Brasil,1980,Militar,Militar,8249,123020
Chile,1970,Democracia,Democracia,8195,9368.558
Chile,1971,Democracia,Democracia,8773,9540.298
Chile,1972,Democracia,Democracia,8520,9717.524
Chile,1973,Democracia,Democracia,7911,9896.635
Chile,1974,Militar,Militar-Personal,7857,10076.544
Chile,1975,Militar,Militar-Personal,6731,10251.542
Chile,1976,Militar,Militar-Personal,6868,10432.214
Chile,1977,Militar,Militar-Personal,7438,10599.793
Chile,1978,Militar,Militar-Personal,7936,10759.823
Chile,1979,Militar,Militar-Personal,8475,10922.822
Chile,1980,Militar,Militar-Personal,9024,11093.718
Colombia,1970,Democracia,Democracia,4932,21429.658
Colombia,1971,Democracia,Democracia,5091,21992.579
Colombia,1972,Democracia,Democracia,5348,22542.89
Colombia,1973,Democracia,Democracia,5577,23069.231
Colombia,1974,Democracia,Democracia,5767,23598
Colombia,1975,Democracia,Democracia,5772,24125
Colombia,1976,Democracia,Democracia,5918,24638
Colombia,1977,Democracia,Democracia,6046,25119
Colombia,1978,Democracia,Democracia,6443,25575
Colombia,1979,Democracia,Democracia,6658,26072
Colombia,1980,Democracia,Democracia,6786,26631
Costa Rica,1970,Democracia,Democracia,5984,1735.523
