fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
01/01/2021,00:02:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,PAR,ROS,0,PA-PA-28-181,0,DEFINITIVO
01/01/2021,00:24:00,Regular,Domestico,Aterrizaje,EZE,GRA,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,70,DEFINITIVO
01/01/2021,00:26:00,Regular,Domestico,Aterrizaje,EZE,ECA,AEROLINEAS ARGENTINAS SA,BO-737-800,70,DEFINITIVO
01/01/2021,00:29:00,Regular,Domestico,Aterrizaje,EZE,SAL,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,12,DEFINITIVO
01/01/2021,00:37:00,Regular,Domestico,Aterrizaje,EZE,TUC,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,26,DEFINITIVO
01/01/2021,00:59:00,Regular,Internacional,Aterrizaje,EZE,SBGR,TURK HAVA YOLLARI (TURKISH AIRLINES CO.),0,62,DEFINITIVO
01/01/2021,01:00:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,ROS,PAR,0,PA-PA-28-181,0,DEFINITIVO
01/01/2021,01:12:00,Regular,Internacional,Despegue,EZE,MMMX,AEROVIAS DE MEXICO - AEROMEXICO,0,198,DEFINITIVO
01/01/2021,01:52:00,Regular,Internacional,Despegue,EZE,KDFW,AMERICAN AIRLINES INC.,0,193,DEFINITIVO
01/01/2021,02:08:00,Regular,Internacional,Despegue,EZE,KMIA,AMERICAN AIRLINES INC.,0,255,DEFINITIVO
01/01/2021,02:39:00,Regular,Internacional,Despegue,EZE,SBGR,TURK HAVA YOLLARI (TURKISH AIRLINES CO.),0,103,DEFINITIVO
01/01/2021,02:46:00,Regular,Internacional,Despegue,EZE,KIAH,UNITED AIRLINES INC. (EEUU),0,229,DEFINITIVO
01/01/2021,03:30:00,Regular,Internacional,Aterrizaje,EZE,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,21,DEFINITIVO
01/01/2021,05:01:00,Regular,Internacional,Despegue,EZE,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,132,DEFINITIVO
01/01/2021,06:40:00,Regular,Internacional,Aterrizaje,EZE,SBGR,QATAR AIRWAYS,0,0,DEFINITIVO
01/01/2021,07:09:00,Regular,Domestico,Despegue,EZE,ECA,AEROLINEAS ARGENTINAS SA,BO-B737-800,35,DEFINITIVO
01/01/2021,08:10:00,Regular,Domestico,Despegue,EZE,JUJ,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,46,DEFINITIVO
01/01/2021,08:14:00,Regular,Domestico,Despegue,EZE,BAR,AEROLINEAS ARGENTINAS SA,BO-737-800,81,DEFINITIVO
01/01/2021,08:30:00,Regular,Internacional,Despegue,EZE,SEQM,QATAR AIRWAYS,0,0,DEFINITIVO
01/01/2021,08:35:00,Regular,Domestico,Despegue,EZE,USU,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,74,DEFINITIVO
01/01/2021,08:48:00,Regular,Internacional,Aterrizaje,EZE,SKBO,AVIANCA AEROVIAS NACIONALES COLOMBIA,0,30,DEFINITIVO
01/01/2021,08:59:00,Regular,Internacional,Aterrizaje,EZE,SCEL,QATAR AIRWAYS,0,0,DEFINITIVO
01/01/2021,09:04:00,Regular,Domestico,Despegue,EZE,NEU,AEROLINEAS ARGENTINAS SA,BO-B737-800,67,DEFINITIVO
01/01/2021,09:10:00,Vuelo Oficial Nacional,Domestico,Despegue,CBA,VRU,0,EUR-AS-350-B3,0,DEFINITIVO
01/01/2021,09:11:00,Regular,Domestico,Despegue,EZE,USU,AEROLINEAS ARGENTINAS SA,BO-737-8SH,71,DEFINITIVO
01/01/2021,09:28:00,Regular,Internacional,Aterrizaje,EZE,LSZH,SWISS InternacionalNATIONAL AIR LINES LTD.,0,0,DEFINITIVO
01/01/2021,09:45:00,Regular,Internacional,Despegue,EZE,SCEL,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,66,DEFINITIVO
01/01/2021,09:50:00,Regular,Domestico,Despegue,EZE,BAR,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,89,DEFINITIVO
