fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
04/05/2021,14:02:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,TEA-P2002-JF,0,DEFINITIVO
19/08/2021,11:28:00,No Regular,Domestico,Despegue,SAL,FDO,0,BE-200,3,DEFINITIVO
21/03/2021,13:06:00,Regular,Domestico,Aterrizaje,IGU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,70,DEFINITIVO
11/02/2021,23:36:00,Regular,Domestico,Aterrizaje,EZE,MDP,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,24,DEFINITIVO
06/07/2021,20:15:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,CRV,ICO,0,BE-58,0,DEFINITIVO
27/06/2021,16:54:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,BCA,FDO,0,DH-DHC-6,0,DEFINITIVO
30/03/2021,11:29:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,FDO,0,PA-PA-28-181,0,DEFINITIVO
17/12/2021,12:34:00,Vuelo Privado con Matrícula Nacional,Internacional,Despegue,FDO,SULS,0,BE-200,4,DEFINITIVO
16/09/2021,21:08:00,Regular,Domestico,Despegue,AER,SAL,AEROLINEAS ARGENTINAS SA,BO-737-8BK,87,DEFINITIVO
12/02/2021,18:04:00,Regular,Domestico,Despegue,NEU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,83,DEFINITIVO
22/05/2021,19:52:00,Regular,Domestico,Aterrizaje,ROS,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,12,DEFINITIVO
09/04/2021,13:26:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,FDO,FDO,0,RAY-HAWKER 800XP,0,DEFINITIVO
17/01/2021,18:14:00,No Regular,Domestico,Aterrizaje,DRY,ESQ,0,BE-400-A,1,DEFINITIVO
28/01/2021,13:28:00,Vuelo Escuela,Domestico,Aterrizaje,CRR,CRR,0,CE-150-M,0,DEFINITIVO
21/08/2021,17:09:00,Regular,Domestico,Despegue,EZE,USU,AEROLINEAS ARGENTINAS SA,BO-737-8BK,64,DEFINITIVO
03/04/2021,00:59:00,Regular,Domestico,Aterrizaje,CBA,AER,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-800,73,DEFINITIVO
22/12/2021,19:30:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-150-L,0,DEFINITIVO
02/12/2021,00:09:00,Regular,Domestico,Despegue,BAR,EZE,JETSMART AIRLINES S.A.,AIB-A320-232,80,DEFINITIVO
31/03/2021,12:12:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,MOR,PEH,0,CE-210-M,0,DEFINITIVO
15/07/2021,18:22:00,No Regular,Internacional,Aterrizaje,AER,SULS,0,BE-C-90-A,1,DEFINITIVO
26/11/2021,13:29:00,1N,Domestico,Despegue,FDO,EZE,AMERICAN JET S.A.,FA-SA-227-DC,0,DEFINITIVO
09/12/2021,19:49:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-150-L,0,DEFINITIVO
09/11/2021,11:08:00,2N,Domestico,Aterrizaje,GAL,MBI,FUERZA AEREA ARGENTINA (FAA),0,0,DEFINITIVO
