folio,punto,edo,mun,secc,latitude,longitude,tipo_secc,df,fecha,int,p05,p06,p07,p08,p09a,p10a,p09b,p10b,p09c,p10c,p09d,p10d,p11,p12,p13,p14,p15,p16,bol1,bol2,bol3,bol1_rec,bol2_rec,bol3_rec,edadrec,nse_1,nse_2,nse_3,nse_4,nse_5,nse_6,nse_suma,nse,pond
1,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,6,1,1,66,1,1,2,1,3,1,2,1,3,98,98,98,5,10,1,NA,NA,1,NA,NA,1,5,31,47,18,31,15,17,159,3,0.7568838775188441
2,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,2,1,1,58,1,1,2,1,2,1,2,1,2,1,1,2,7,1,1,8,5,6,3,2,1,5,43,24,0,0,46,23,136,4,0.6696988770408911
3,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,4,1,1,18,1,1,2,1,2,2,NA,2,NA,1,1,97,5,2,1,1,1,2,1,1,2,1,22,24,0,31,46,12,135,4,0.6156211035557663
4,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,3,1,1,56,1,1,1,1,2,1,1,1,2,1,2,2,6,12,1,8,1,1,3,1,1,5,31,47,18,0,0,0,96,5,0.6696988770408911
5,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,14,1,1,30,1,2,NA,2,NA,2,NA,2,NA,97,2,2,10,1,97,9,9,8,3,3,3,2,31,47,37,31,46,17,209,2,0.83609868482357
6,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,8,1,1,21,1,1,3,1,2,1,3,1,2,1,2,2,10,2,97,11,9,7,5,3,2,1,73,24,18,31,15,12,173,2,0.5146616902212734
7,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,16,1,1,37,1,1,3,1,1,1,2,1,1,97,2,97,10,2,1,11,5,NA,5,2,NA,3,73,47,18,31,31,17,217,1,0.5725243492142627
8,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,14,1,1,31,2,1,2,1,2,1,2,2,NA,2,2,2,7,8,1,4,8,8,3,3,3,2,43,24,0,31,15,12,125,4,0.7062527629231499
9,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,20,1,1,32,2,1,2,1,2,1,2,1,3,1,1,1,5,2,1,2,NA,2,2,NA,2,2,35,24,0,31,46,17,153,3,0.8361366476528719
10,1,AGUASCALIENTES,AGUASCALIENTES,120,NA,NA,1,2,2018-06-21,4,1,1,27,1,1,2,1,2,1,2,1,2,1,2,2,10,2,1,NA,NA,2,NA,NA,2,2,31,47,18,0,61,17,174,2,0.83609868482357
